episode_hash,operator,lab,num_frames,task,task_description,scene,objects,is_deleted,embodiment,is_eval,eval_score,eval_success,zarr_processed_path,zarr_processing_error,zarr_mp4_path,license,segments,created_at,updated_at,rig_name,outcome
2026-03-28-00-24-47-003000,Xinchen,rl2,734.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""yellow saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-00-24-47-003000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-00-24-47-003000.mp4,,,2026-03-28 00:24:47.003000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-21-49-31-226000,Baoyu,rl2,503.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""pink cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-21-49-31-226000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-21-49-31-226000.mp4,,,2026-03-28 21:49:31.226000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-18-16-57-293000,Baoyu,rl2,595.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white ceramic cup"",""yellow saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-18-16-57-293000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-18-16-57-293000.mp4,,,2026-03-28 18:16:57.293000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-27-22-45-26-911000,Baoyu,rl2,503.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""green square saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-27-22-45-26-911000.zarr,,s3://rldb/processed_v3/eva/2026-03-27-22-45-26-911000.mp4,,,2026-03-27 22:45:26.911000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-19-52-53-186000,Xinchen,rl2,585.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""pink cup"",""green square saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-19-52-53-186000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-19-52-53-186000.mp4,,,2026-03-28 19:52:53.186000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-01-00-39-319000,Baoyu,rl2,543.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-01-00-39-319000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-01-00-39-319000.mp4,,,2026-03-28 01:00:39.319000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-19-57-34-440000,Xinchen,rl2,604.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""pink cup"",""green square saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-19-57-34-440000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-19-57-34-440000.mp4,,,2026-03-28 19:57:34.440000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-00-49-37-155000,Baoyu,rl2,506.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-00-49-37-155000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-00-49-37-155000.mp4,,,2026-03-28 00:49:37.155000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-18-03-45-961000,Baoyu,rl2,579.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white ceramic cup"",""yellow saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-18-03-45-961000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-18-03-45-961000.mp4,,,2026-03-28 18:03:45.961000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-18-11-34-685000,Baoyu,rl2,482.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white ceramic cup"",""yellow saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-18-11-34-685000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-18-11-34-685000.mp4,,,2026-03-28 18:11:34.685000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-22-38-33-788000,Baoyu,rl2,464.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""pink cup"",""yellow saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-22-38-33-788000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-22-38-33-788000.mp4,,,2026-03-28 22:38:33.788000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-22-35-15-754000,Baoyu,rl2,230.0,cup_on_saucer_failure_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""pink cup"",""yellow saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-22-35-15-754000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-22-35-15-754000.mp4,,,2026-03-28 22:35:15.754000+00:00,2026-07-31 21:45:36.954967+00:00,eva,failure
2026-03-28-18-17-33-024000,Baoyu,rl2,587.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white ceramic cup"",""yellow saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-18-17-33-024000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-18-17-33-024000.mp4,,,2026-03-28 18:17:33.024000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-01-11-34-904000,Baoyu,rl2,571.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-01-11-34-904000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-01-11-34-904000.mp4,,,2026-03-28 01:11:34.904000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-01-09-58-663000,Baoyu,rl2,486.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-01-09-58-663000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-01-09-58-663000.mp4,,,2026-03-28 01:09:58.663000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-22-26-49-147000,Baoyu,rl2,545.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""pink cup"",""yellow saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-22-26-49-147000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-22-26-49-147000.mp4,,,2026-03-28 22:26:49.147000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-21-46-56-933000,Baoyu,rl2,445.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""pink cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-21-46-56-933000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-21-46-56-933000.mp4,,,2026-03-28 21:46:56.933000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-22-33-49-811000,Baoyu,rl2,476.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""pink cup"",""yellow saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-22-33-49-811000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-22-33-49-811000.mp4,,,2026-03-28 22:33:49.811000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-19-07-49-864000,Baoyu,rl2,506.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white ceramic cup"",""green square saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-19-07-49-864000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-19-07-49-864000.mp4,,,2026-03-28 19:07:49.864000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-00-54-27-281000,Baoyu,rl2,529.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-00-54-27-281000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-00-54-27-281000.mp4,,,2026-03-28 00:54:27.281000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-01-07-58-160000,Baoyu,rl2,579.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-01-07-58-160000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-01-07-58-160000.mp4,,,2026-03-28 01:07:58.160000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-00-15-28-278000,Xinchen,rl2,571.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""yellow saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-00-15-28-278000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-00-15-28-278000.mp4,,,2026-03-28 00:15:28.278000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-27-23-06-20-255000,Baoyu,rl2,593.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""green square saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-27-23-06-20-255000.zarr,,s3://rldb/processed_v3/eva/2026-03-27-23-06-20-255000.mp4,,,2026-03-27 23:06:20.255000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-21-51-13-836000,Baoyu,rl2,563.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""pink cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-21-51-13-836000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-21-51-13-836000.mp4,,,2026-03-28 21:51:13.836000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-27-23-08-36-216000,Baoyu,rl2,524.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""green square saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-27-23-08-36-216000.zarr,,s3://rldb/processed_v3/eva/2026-03-27-23-08-36-216000.mp4,,,2026-03-27 23:08:36.216000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-17-52-04-255000,Baoyu,rl2,552.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white ceramic cup"",""yellow saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-17-52-04-255000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-17-52-04-255000.mp4,,,2026-03-28 17:52:04.255000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-00-43-57-113000,Baoyu,rl2,544.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-00-43-57-113000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-00-43-57-113000.mp4,,,2026-03-28 00:43:57.113000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-22-32-45-292000,Baoyu,rl2,517.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""pink cup"",""yellow saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-22-32-45-292000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-22-32-45-292000.mp4,,,2026-03-28 22:32:45.292000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-19-28-02-137000,Baoyu,rl2,691.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white ceramic cup"",""green square saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-19-28-02-137000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-19-28-02-137000.mp4,,,2026-03-28 19:28:02.137000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-22-30-09-576000,Baoyu,rl2,446.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""pink cup"",""yellow saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-22-30-09-576000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-22-30-09-576000.mp4,,,2026-03-28 22:30:09.576000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-22-32-13-729000,Baoyu,rl2,498.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""pink cup"",""yellow saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-22-32-13-729000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-22-32-13-729000.mp4,,,2026-03-28 22:32:13.729000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-00-48-16-366000,Baoyu,rl2,676.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-00-48-16-366000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-00-48-16-366000.mp4,,,2026-03-28 00:48:16.366000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-22-13-32-556000,Baoyu,rl2,493.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""pink cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-22-13-32-556000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-22-13-32-556000.mp4,,,2026-03-28 22:13:32.556000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-00-14-52-053000,Xinchen,rl2,529.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""yellow saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-00-14-52-053000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-00-14-52-053000.mp4,,,2026-03-28 00:14:52.053000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-22-40-58-077000,Baoyu,rl2,336.0,cup_on_saucer_failure_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""pink cup"",""yellow saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-22-40-58-077000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-22-40-58-077000.mp4,,,2026-03-28 22:40:58.077000+00:00,2026-07-31 21:45:36.954967+00:00,eva,failure
2026-03-28-00-50-14-403000,Baoyu,rl2,612.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-00-50-14-403000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-00-50-14-403000.mp4,,,2026-03-28 00:50:14.403000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-00-55-07-542000,Baoyu,rl2,688.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-00-55-07-542000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-00-55-07-542000.mp4,,,2026-03-28 00:55:07.542000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-00-55-57-880000,Baoyu,rl2,630.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-00-55-57-880000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-00-55-57-880000.mp4,,,2026-03-28 00:55:57.880000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-00-45-12-294000,Baoyu,rl2,546.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-00-45-12-294000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-00-45-12-294000.mp4,,,2026-03-28 00:45:12.294000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-21-44-16-056000,Baoyu,rl2,597.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""pink cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-21-44-16-056000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-21-44-16-056000.mp4,,,2026-03-28 21:44:16.056000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-00-18-18-571000,Xinchen,rl2,707.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""yellow saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-00-18-18-571000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-00-18-18-571000.mp4,,,2026-03-28 00:18:18.571000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-18-51-23-740000,Xinchen,rl2,696.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white ceramic cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-18-51-23-740000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-18-51-23-740000.mp4,,,2026-03-28 18:51:23.740000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-17-55-28-539000,Baoyu,rl2,648.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white ceramic cup"",""yellow saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-17-55-28-539000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-17-55-28-539000.mp4,,,2026-03-28 17:55:28.539000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-01-00-02-609000,Baoyu,rl2,777.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-01-00-02-609000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-01-00-02-609000.mp4,,,2026-03-28 01:00:02.609000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-22-36-57-076000,Baoyu,rl2,599.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""pink cup"",""yellow saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-22-36-57-076000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-22-36-57-076000.mp4,,,2026-03-28 22:36:57.076000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-21-37-18-118000,Baoyu,rl2,515.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""pink cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-21-37-18-118000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-21-37-18-118000.mp4,,,2026-03-28 21:37:18.118000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-28-01-24-16-026000,Xinchen,rl2,558.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white ceramic cup"",""white saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-28-01-24-16-026000.zarr,,s3://rldb/processed_v3/eva/2026-03-28-01-24-16-026000.mp4,,,2026-03-28 01:24:16.026000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
2026-03-27-22-38-17-083000,Baoyu,rl2,479.0,cup_on_saucer_success_1,"pick up cup with one arm, hand it over to the other arm and place it on the saucer",white_wall,"{""white cup"",""green square saucer""}",False,eva_bimanual,False,-1.0,True,s3://rldb/processed_v3/eva/2026-03-27-22-38-17-083000.zarr,,s3://rldb/processed_v3/eva/2026-03-27-22-38-17-083000.mp4,,,2026-03-27 22:38:17.083000+00:00,2026-07-31 21:45:36.954967+00:00,eva,success
